date,artist,front_person_age,song,discogs_genre,length_sec,simplified_key,lyrical_topic,explicit,discogs_genre_cleaned,year,decade,lyrical_topic_split
1975-05-31 00:00:00+00:00,Freddy Fender,37.0,Before the Next Teardrop Falls,"Folk, World, & Country",153,Bb,Longing for Love,0,Folk,1975,1970,['Longing for Love']
1975-06-07 00:00:00+00:00,John Denver,31.0,Thank God I'm a Country Boy,"Folk, World, & Country",167,A,Appreciation;Growing Up;Family,0,Folk,1975,1970,"['Appreciation', 'Growing Up', 'Family']"
1975-06-14 00:00:00+00:00,America,23.0,Sister Golden Hair,Rock,200,E,Love;Restlessness,1,Rock,1975,1970,"['Love', 'Restlessness']"
1975-06-21 00:00:00+00:00,Captain & Tennille,33.5,Love Will Keep Us Together,Pop,205,B,Love,0,Pop,1975,1970,['Love']
1975-07-19 00:00:00+00:00,Paul McCartney & Wings,33.0,Listen to What the Man Said,Rock,235,G,Love,0,Rock,1975,1970,['Love']
1975-08-02 00:00:00+00:00,Eagles,28.0,One of these Nights,Rock,214,G,Hope;Love;Lust/Sex,0,Rock,1975,1970,"['Hope', 'Love', 'Lust/Sex']"
1975-08-09 00:00:00+00:00,Bee Gees,27.33333333333333,Jive Talkin',Pop,213,C,Bad Relationships;Love,0,Pop,1975,1970,"['Bad Relationships', 'Love']"
1975-08-23 00:00:00+00:00,"Hamilton, Joe Frank & Reynolds",29.0,Fallin' in Love,Funk/Soul;Pop,194,Gbm,Lust/Sex;Love,0,Funk/Soul,1975,1970,"['Lust/Sex', 'Love']"
1975-08-30 00:00:00+00:00,KC & the Sunshine Band,24.0,Get Down Tonight,Electronic;Funk/Soul,192,Bb,Lust/Sex,0,Electronic,1975,1970,['Lust/Sex']
1975-09-06 00:00:00+00:00,Glen Campbell,39.0,Rhinestone Cowboy,Pop,194,C,Dreaming,0,Pop,1975,1970,['Dreaming']
1975-09-20 00:00:00+00:00,David Bowie,28.0,Fame,Rock;Funk/Soul,214,Bbm,Fame,0,Rock,1975,1970,['Fame']
1975-09-27 00:00:00+00:00,John Denver,31.0,I'm Sorry,Rock,212,G,Lost Love,0,Rock,1975,1970,['Lost Love']
1975-10-11 00:00:00+00:00,Neil Sedaka,36.0,Bad Blood,Rock,189,A,Lost Love;Bad Relationships,1,Rock,1975,1970,"['Lost Love', 'Bad Relationships']"
1975-11-01 00:00:00+00:00,Elton John,28.0,Island Girl,Rock,225,Bb,Prostitution,0,Rock,1975,1970,['Prostitution']
1975-11-22 00:00:00+00:00,KC & the Sunshine Band,24.0,That's the Way (I Like It),Funk/Soul,185,Fm,Lust/Sex,0,Funk/Soul,1975,1970,['Lust/Sex']
1975-12-27 00:00:00+00:00,The Staple Singers,36.0,Let's Do It Again,Funk/Soul,294,E,Lust/Sex,1,Funk/Soul,1975,1970,['Lust/Sex']
1976-01-02 00:00:00+00:00,Bay City Rollers,20.0,Saturday Night,Rock;Pop,174,G,Dancing;Escape;Love,0,Rock,1976,1970,"['Dancing', 'Escape', 'Love']"
1976-01-10 00:00:00+00:00,C.W. McCall,47.0,Convoy,"Rock;Folk, World, & Country",231,F,Anger;Driving,0,Rock,1976,1970,"['Anger', 'Driving']"
1976-01-17 00:00:00+00:00,Barry Manilow,32.0,I Write the Songs,Pop,235,F,God,0,Pop,1976,1970,['God']
